timestamp,artist,track,ms_played
2024-01-08T07:00:00,Taylor Swift,Fearless,427500
2024-01-08T08:30:00,Taylor Swift,Love Story,390000
2024-01-08T10:00:00,Taylor Swift,Hey Stephen,482000
2024-01-08T11:45:00,Justin Bieber,Ghost,354000
2024-01-08T13:30:00,Glass Animals,Heat Waves,245000
2024-01-08T15:00:00,Charlie Puth,Left and Right,300000
2024-01-08T16:30:00,One Direction,Steal My Girl,173000
2024-01-08T18:00:00,Good Old War,Part of Me,246000
2024-01-08T19:30:00,Ruth B.,Dandelions,170000
2024-01-08T21:00:00,Conan Gray,Astronomy,315000
