timestamp,artist,track,ms_played
2024-01-10T06:00:00,Taylor Swift,Look What You Made Me Do,300000
2024-01-10T07:30:00,Taylor Swift,This Is Why We Can't Have Nice Things,240000
2024-01-10T09:00:00,Taylor Swift,...Ready For It?,360000
2024-01-10T10:45:00,Taylor Swift,I Did Something Bad,280000
2024-01-10T12:15:00,Taylor Swift,Gorgeous,260000
2024-01-10T14:00:00,Taylor Swift,The Great War,285000
2024-01-10T15:30:00,Taylor Swift,ivy,240000
2024-01-10T17:00:00,Taylor Swift,willow,300000
2024-01-10T18:45:00,Taylor Swift,Call It What You Want,240000
2024-01-10T20:15:00,Taylor Swift,Dress,300000
