timestamp,artist,track,ms_played
2024-01-04T06:00:00,Taylor Swift,Look What You Made Me Do,300000
2024-01-04T07:30:00,Taylor Swift,This Is Why We Can't Have Nice Things,180000
2024-01-04T08:50:00,Taylor Swift,...Ready For It?,320000
2024-01-04T10:15:00,Taylor Swift,I Did Something Bad,240000
2024-01-04T11:40:00,Taylor Swift,Gorgeous,310000
2024-01-04T13:00:00,Taylor Swift,Fearless,280000
2024-01-04T14:30:00,Taylor Swift,Love Story,210000
2024-01-04T15:50:00,Taylor Swift,Hey Stephen,270000
2024-01-04T17:15:00,Justin Bieber,Ghost,240000
2024-01-04T18:40:00,Glass Animals,Heat Waves,190000
