timestamp,artist,track,ms_played
2024-01-05T08:00:00,Stephen Sanchez,Until I Found You,450000
2024-01-05T09:30:00,Ruth B.,Dandelions,420000
2024-01-05T11:00:00,Pritam,Kesariya,300000
2024-01-05T12:30:00,Aditya A,Chaand Baaliyan,205000
2024-01-05T14:00:00,Sharn,Mi Amor,280000
2024-01-05T15:30:00,Good Old War,Part of Me,320000
2024-01-05T17:00:00,Julia Michaels,What A Time,240000
2024-01-05T18:30:00,Taylor Swift,Call It What You Want,250000
2024-01-05T20:00:00,Taylor Swift,Dress,290000
2024-01-05T21:30:00,One Direction,Steal My Girl,210000
