timestamp,artist,track,ms_played
2024-01-06T07:00:00,Harry Styles,Falling,300000
2024-01-06T08:30:00,Olivia Rodrigo,drivers license,300000
2024-01-06T10:00:00,Duncan Laurence,Arcade,210000
2024-01-06T11:30:00,Conan Gray,Heather,200000
2024-01-06T13:00:00,Clinton Kane,I GUESS I'M IN LOVE,190000
2024-01-06T14:30:00,Prateek Kuhad,Kahaan Ho Tum,240000
2024-01-06T16:00:00,Ashe,Till Forever Falls Apart,220000
2024-01-06T17:30:00,Taylor Swift,Maroon,200000
2024-01-06T19:00:00,Taylor Swift,White Horse,210000
2024-01-06T20:30:00,Julia Michaels,What A Time,220000
