timestamp,artist,track,ms_played
2024-01-02T06:30:00,Taylor Swift,august,360000
2024-01-02T07:45:00,Taylor Swift,Call It What You Want,300000
2024-01-02T09:00:00,Taylor Swift,Dress,240000
2024-01-02T10:20:00,Taylor Swift,Gorgeous,220000
2024-01-02T11:30:00,Taylor Swift,The Great War,195000
2024-01-02T12:45:00,Taylor Swift,ivy,480000
2024-01-02T13:55:00,Taylor Swift,Maroon,200000
2024-01-02T15:10:00,Taylor Swift,Fearless,240000
2024-01-02T16:25:00,Taylor Swift,Love Story,300000
2024-01-02T17:40:00,Taylor Swift,White Horse,310000
