timestamp,artist,track,ms_played
2024-01-09T09:00:00,Conan Gray,Astronomy,304000
2024-01-09T10:30:00,Prateek Kuhad,Kahaan Ho Tum,242000
2024-01-09T12:00:00,Good Old War,Part of Me,212000
2024-01-09T13:30:00,Ashe,Till Forever Falls Apart,187000
2024-01-09T15:00:00,Harry Styles,Falling,222000
2024-01-09T16:30:00,Olivia Rodrigo,drivers license,239000
2024-01-09T18:00:00,Duncan Laurence,Arcade,240000
2024-01-09T19:30:00,Conan Gray,Heather,212000
2024-01-09T21:00:00,Clinton Kane,I GUESS I'M IN LOVE,215000
2024-01-09T22:30:00,Julia Michaels,What A Time,180000
