timestamp,artist,track,ms_played
2024-01-01T08:00:00,Conan Gray,Astronomy,200000
2024-01-01T09:15:00,Harry Styles,Falling,220000
2024-01-01T10:30:00,Olivia Rodrigo,drivers license,240000
2024-01-01T11:45:00,Duncan Laurence,Arcade,210000
2024-01-01T13:00:00,Conan Gray,Heather,215000
2024-01-01T14:15:00,Julia Michaels,What A Time,225000
2024-01-01T15:30:00,Clinton Kane,I GUESS I'M IN LOVE,240000
2024-01-01T16:45:00,Ruth B.,Dandelions,260000
2024-01-01T18:00:00,Prateek Kuhad,Kahaan Ho Tum,270000
2024-01-01T19:15:00,Ashe,Till Forever Falls Apart,250000
