timestamp,artist,track,ms_played
2024-03-01T09:20:00,Yashita Sharma,Gallan Goodiyaan,234000
2024-03-01T09:29:00,Labh Janjua,London Thumakda,221000
2024-03-01T12:40:00,Rahul Sipligunj,Naatu Naatu,230000
2024-03-01T18:05:00,Neeraj Shridhar,Tum Hi Ho Bandhu,217000
2024-03-01T22:10:00,Anirudh Ravichander,Arabic Kuthu - Halamithi Habibo,222000
2024-03-02T08:10:00,Tanishk Bagchi,Raataan Lambiyan,214000
2024-03-02T13:45:00,Pritam,Kesariya,219000
2024-03-02T19:35:00,AP Dhillon,Excuses,221000
2024-03-02T22:50:00,Harrdy Sandhu,Bijlee Bijlee,209000
2024-03-03T09:05:00,Badshah,Kar Gayi Chull,216000
2024-03-03T14:30:00,Sukhbir,OH HO HO HO (Original Song),238000
2024-03-03T20:25:00,King,Tu Aake Dekhle,207000
2024-03-04T08:40:00,Sharn,Mi Amor,204000
2024-03-04T13:55:00,Charlie Puth,Left and Right,190000
2024-03-04T18:45:00,One Direction,Steal My Girl,200000
2024-03-04T22:20:00,Justin Bieber,Ghost,211000
