timestamp,artist,track,ms_played
2024-03-01T08:05:00,Taylor Swift,Fearless,225000
2024-03-01T08:11:00,Taylor Swift,Love Story,233000
2024-03-01T08:18:00,Taylor Swift,Hey Stephen,211000
2024-03-01T14:02:00,One Direction,Steal My Girl,198000
2024-03-01T18:24:00,Charlie Puth,Left and Right,182000
2024-03-02T07:55:00,Justin Bieber,Ghost,205000
2024-03-02T08:03:00,Glass Animals,Heat Waves,196000
2024-03-02T13:30:00,Stephen Sanchez,Until I Found You,221000
2024-03-02T19:20:00,Ruth B.,Dandelions,218000
2024-03-03T09:10:00,Taylor Swift,august,207000
2024-03-03T12:40:00,Prateek Kuhad,Kahaan Ho Tum,192000
2024-03-03T18:15:00,Aditya A,Chaand Baaliyan,176000
2024-03-04T08:00:00,Tanishk Bagchi,Raataan Lambiyan,230000
2024-03-04T13:10:00,Pritam,Kesariya,226000
2024-03-04T19:35:00,Taylor Swift,Fifteen,214000
2024-03-04T22:05:00,Alec Benjamin,Devil Doesn’t Bargain,201000
