timestamp,artist,track,ms_played
2024-03-01T06:35:00,Conan Gray,Astronomy,228000
2024-03-01T06:44:00,Harry Styles,Falling,219000
2024-03-01T11:05:00,Taylor Swift,Maroon,225000
2024-03-01T16:30:00,Taylor Swift,Don’t Blame Me,218000
2024-03-01T21:00:00,Taylor Swift,Look What You Made Me Do,214000
2024-03-02T07:15:00,Taylor Swift,This Is Why We Can't Have Nice Things,203000
2024-03-02T12:45:00,Taylor Swift,I Did Something Bad,207000
2024-03-02T18:10:00,Melanie Martinez,Play Date,196000
2024-03-02T22:20:00,Olivia Rodrigo,drivers license,231000
2024-03-03T08:05:00,Duncan Laurence,Arcade,209000
2024-03-03T13:25:00,Conan Gray,Heather,202000
2024-03-03T19:50:00,Javed-Mohsin,Kabhii Tumhhe,198000
2024-03-04T07:30:00,Prateek Kuhad,Kahaan Ho Tum,187000
2024-03-04T12:15:00,Good Old War,Part of Me,201000
2024-03-04T18:35:00,Taylor Swift,ivy,213000
2024-03-04T23:30:00,Taylor Swift,New Year’s Day,215000
