timestamp,artist,track,ms_played
2024-03-01T07:20:00,Harry Styles,Falling,221000
2024-03-01T07:28:00,Olivia Rodrigo,drivers license,236000
2024-03-01T12:10:00,Duncan Laurence,Arcade,210000
2024-03-01T18:45:00,Conan Gray,Heather,198000
2024-03-01T22:05:00,Taylor Swift,Maroon,217000
2024-03-02T08:00:00,Taylor Swift,Don’t Blame Me,226000
2024-03-02T11:35:00,Taylor Swift,The Great War,214000
2024-03-02T17:50:00,Taylor Swift,Look What You Made Me Do,204000
2024-03-02T21:15:00,Taylor Swift,...Ready For It?,221000
2024-03-03T07:40:00,Alec Benjamin,Devil Doesn’t Bargain,193000
2024-03-03T12:22:00,Ashe,Till Forever Falls Apart,216000
2024-03-03T18:05:00,Taylor Swift,Call It What You Want,207000
2024-03-04T08:12:00,Julia Michaels,What A Time,203000
2024-03-04T13:55:00,Jasleen Royal,Ranjha,211000
2024-03-04T19:40:00,Javed-Mohsin,Kabhii Tumhhe,195000
2024-03-04T23:05:00,Taylor Swift,New Year’s Day,208000
