timestamp,artist,track,ms_played
2024-03-01T07:45:00,Taylor Swift,Call It What You Want,210000
2024-03-01T07:53:00,Taylor Swift,Dress,204000
2024-03-01T12:15:00,Taylor Swift,Gorgeous,198000
2024-03-01T17:25:00,Taylor Swift,august,213000
2024-03-01T21:45:00,Taylor Swift,The Great War,217000
2024-03-02T08:35:00,One Direction,Steal My Girl,205000
2024-03-02T13:00:00,Charlie Puth,Left and Right,188000
2024-03-02T18:10:00,Glass Animals,Heat Waves,196000
2024-03-02T22:40:00,Justin Bieber,Ghost,212000
2024-03-03T09:25:00,Stephen Sanchez,Until I Found You,220000
2024-03-03T14:20:00,Ruth B.,Dandelions,217000
2024-03-03T19:30:00,Julia Michaels,What A Time,201000
2024-03-04T08:05:00,Melanie Martinez,Play Date,190000
2024-03-04T13:40:00,Taylor Swift,willow,205000
2024-03-04T19:10:00,Taylor Swift,ivy,211000
2024-03-04T22:50:00,Ashe,Till Forever Falls Apart,214000
