timestamp,artist,track,ms_played
2024-03-01T06:50:00,Olivia Rodrigo,drivers license,236000
2024-03-01T06:59:00,Conan Gray,Heather,202000
2024-03-01T11:30:00,Duncan Laurence,Arcade,211000
2024-03-01T16:20:00,Harry Styles,Falling,222000
2024-03-01T21:35:00,Clinton Kane,I GUESS I'M IN LOVE,194000
2024-03-02T07:40:00,Alec Benjamin,Devil Doesn’t Bargain,199000
2024-03-02T12:35:00,Prateek Kuhad,Kahaan Ho Tum,188000
2024-03-02T18:25:00,Good Old War,Part of Me,205000
2024-03-02T23:05:00,Taylor Swift,White Horse,209000
2024-03-03T08:15:00,Taylor Swift,New Year’s Day,216000
2024-03-03T13:50:00,Javed-Mohsin,Kabhii Tumhhe,197000
2024-03-03T19:20:00,Jasleen Royal,Ranjha,213000
2024-03-04T07:25:00,Taylor Swift,Maroon,219000
2024-03-04T12:45:00,Taylor Swift,Don’t Blame Me,224000
2024-03-04T18:15:00,Taylor Swift,Look What You Made Me Do,207000
2024-03-04T22:30:00,Taylor Swift,...Ready For It?,220000
