timestamp,artist,track,ms_played
2024-03-01T09:00:00,Good Old War,Part of Me,210000
2024-03-01T09:07:00,Taylor Swift,ivy,204000
2024-03-01T12:25:00,Prateek Kuhad,Kahaan Ho Tum,190000
2024-03-01T17:40:00,Aditya A,Chaand Baaliyan,188000
2024-03-01T21:12:00,Clinton Kane,I GUESS I'M IN LOVE,193000
2024-03-02T08:20:00,Harry Styles,Falling,215000
2024-03-02T08:28:00,Conan Gray,Astronomy,221000
2024-03-02T13:18:00,Julia Michaels,What A Time,202000
2024-03-02T18:30:00,Jasleen Royal,Ranjha,218000
2024-03-03T07:50:00,Javed-Mohsin,Kabhii Tumhhe,196000
2024-03-03T14:00:00,Taylor Swift,White Horse,207000
2024-03-03T19:15:00,Olivia Rodrigo,drivers license,224000
2024-03-04T08:45:00,Duncan Laurence,Arcade,205000
2024-03-04T15:05:00,Conan Gray,Heather,199000
2024-03-04T20:20:00,Taylor Swift,New Year’s Day,214000
2024-03-04T22:35:00,Melanie Martinez,Play Date,183000
